# Model Metadata
# n_ctx: 131072
# n_predict: 20
# model_size_bytes: 799862912
# n_params: 1235814432
phase,token_index,tensor_name,op_type,time_ns,size_bytes,n_elements,papi_tot_cyc,papi_tot_ins,papi_l3_tcm,papi_l1_dcm
prefill,0,Qcur-7,ROPE,7008,16384,4096,12814,14127,18,358
prefill,0,Vcur-7,MUL_MAT,37504,4096,1024,140948,275022,3182,4446
prefill,0,Vcur-7,RESHAPE,3925,4096,1024,1982,2680,0,102
prefill,0,Kcur-7,MUL_MAT,32121,4096,1024,118231,245961,1782,3382
prefill,0,Kcur-7 (reshaped),RESHAPE,3885,4096,1024,1937,2677,0,107
prefill,0,Kcur-7,ROPE,6103,4096,1024,10173,12200,3,241
prefill,0,Kcur-7 (view),VIEW,3820,4096,1024,1691,2680,2,53
prefill,0,cache_k_l7 (view),SET_ROWS,4278,134217728,67108864,3589,3467,50,125
prefill,0,Vcur-7 (view),VIEW,3775,4096,1024,1672,2688,2,29
prefill,0,cache_v_l7 (view),SET_ROWS,4183,134217728,67108864,3363,3598,43,144
prefill,0,Qcur-7 (view),VIEW,3790,16384,4096,1507,2731,6,19
prefill,0,Qcur-7 (view) (permuted),PERMUTE,3762,16384,4096,1586,2736,5,25
prefill,0,cache_k_l7 (view),VIEW,3756,262144,131072,1671,2691,0,21
prefill,0,cache_k_l7 (view) (permuted),PERMUTE,3723,262144,131072,1513,2712,0,17
prefill,0,cache_v_l7 (view),VIEW,3776,262144,131072,1734,2862,0,26
prefill,0,cache_v_l7 (view) (permuted),PERMUTE,3822,262144,131072,1548,2582,0,20
prefill,0,__fattn__-7,FLASH_ATTN_EXT,20498,16384,4096,70689,139234,91,1338
prefill,0,kqv_out-7,RESHAPE,3849,16384,4096,1806,2671,4,98
prefill,0,attn_out-7,MUL_MAT,97069,16384,4096,375815,864356,6712,19234
prefill,0,ffn_inp-7,ADD,6398,16384,4096,10270,9331,4,537
prefill,0,norm-7,RMS_NORM,8334,16384,4096,18398,22299,1,356
prefill,0,ffn_norm-7,MUL,7282,16384,4096,13759,9295,144,527
prefill,0,ffn_gate-7,MUL_MAT,377924,65536,16384,1554639,3340492,26641,74892
prefill,0,ffn_up-7,MUL_MAT,365860,65536,16384,1484947,3338068,27076,75076
prefill,0,ffn_swiglu-7,GLU,16342,65536,16384,50557,22145,150,1860
prefill,0,ffn_out-7,MUL_MAT,454307,16384,4096,1917930,3851763,47199,116830
prefill,0,l_out-7,ADD,7405,16384,4096,14267,9284,24,513
prefill,0,norm-8,RMS_NORM,8004,16384,4096,18674,22356,29,267
prefill,0,attn_norm-8,MUL,6185,16384,4096,10855,9244,63,360
prefill,0,Qcur-8,MUL_MAT,92396,16384,4096,366383,864010,6683,19160
prefill,0,Qcur-8 (reshaped),RESHAPE,4000,16384,4096,2282,2675,14,108
prefill,0,Qcur-8,ROPE,6567,16384,4096,12549,14123,5,349
prefill,0,Vcur-8,MUL_MAT,36291,4096,1024,136900,275043,3112,4357
prefill,0,Vcur-8,RESHAPE,3885,4096,1024,1902,2666,0,114
